title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;is_new_product;item_role;log_capacity;log_original_price;log_estimation_discount;log_shelf_life;Promo_normalized;log_capacity_normalized;log_original_price_normalized;log_estimation_discount_normalized;log_shelf_life_normalized;cluster;distance_to_new_product;same_cluster_as_new;new_product_first
太陽牌加州梅汁Pet 946ml;飲料零食;249.0;太陽牌;規格：946ml毫升x1x1Bottle瓶;太陽牌加州梅汁Pet 946ml;0.0;1;946.0;24.0;139;0.00%;1;10014018001;unique_master_match;1;1;ml;1;bottle;249.0;0.0;0.0;volume;month;0.0;1.0;38.0;30.0;26.0;23.0;12.0;1;new;6.853299093186078;0.0;0.0;3.2188758248682006;0.6587581226451357;0.6673458980944864;-1.4372472001711705;-1.3634021813521084;1.6720608903962488;6;0.0;0;0
Evian依雲礦泉水-1000ml;飲料零食;225.0;Evian 依雲;規格：1000ml毫升x1x3Bottle瓶;Evian依雲礦泉水1000ml;0.0;1;1000.0;24.0;632;0.00%;1;10040044001;unique_master_match;1;1;ml;3;bottle;75.0;0.0;0.0;volume;month;0.0;1.0;34.0;25.0;25.0;13.02;12.0;0;historical;6.90875477931522;0.0;0.0;3.2188758248682006;0.6587581226451357;0.7259445031114734;-1.4372472001711705;-1.3634021813521084;1.6720608903962488;6;0.05859860501698699;0;1
聖沛黎洛氣泡礦泉水750ml-玻璃瓶裝;飲料零食;83.0;DigiMax;規格：750ml毫升x1x1Bottle瓶;聖沛黎洛氣泡礦泉水750ml;0.0;1;750.0;30.0;657;0.00%;1;10041001001;unique_master_match;1;1;ml;1;bottle;83.0;0.0;0.0;volume;month;0.0;1.0;33.0;25.0;30.0;14.7;12.0;0;historical;6.621405651764134;0.0;0.0;3.4339872044851463;0.6587581226451357;0.42231003020765095;-1.4372472001711705;-1.3634021813521084;2.2967603072717995;96;0.6710379557042266;1;1
Evian依雲礦泉水500ml;飲料零食;233.0;Evian 依雲;規格：500ml毫升x1x6Bottle瓶;Evian依雲礦泉水500ml;0.0;1;500.0;24.0;593;0.00%;1;10040002001;unique_master_match;1;1;ml;6;bottle;38.833333333333336;0.0;0.0;volume;month;0.0;1.0;40.0;27.0;23.0;13.67;24.0;0;historical;6.2166061010848646;0.0;0.0;3.2188758248682006;0.6587581226451357;-0.005431300520254936;-1.4372472001711705;-1.3634021813521084;1.6720608903962488;132;0.6727771986147414;1;1
普娜天然礦泉水Btl750;飲料零食;996.0;;規格：750ml毫升x1x12Bottle瓶;普娜天然礦泉水Btl750;0.0;1;750.0;32.0;621;0.00%;1;10040031001;unique_master_match;1;1;ml;12;bottle;83.0;0.0;0.0;volume;month;0.0;1.0;32.0;25.0;30.0;15.0;12.0;0;historical;6.621405651764134;0.0;0.0;3.4965075614664802;0.6587581226451357;0.42231003020765095;-1.4372472001711705;-1.3634021813521084;2.478324065631024;96;0.8426760257006938;1;1
可果美蕃茄汁(無添加食鹽)340ml;飲料零食;84.0;可果美;規格：340ml毫升x1x4Can罐;可果美無鹽蕃茄汁Can340ml;0.0;1;340.0;24.0;218;0.00%;1;10016011001;unique_master_match;1;1;ml;4;can;21.0;0.0;0.0;volume;month;0.0;1.0;40.0;27.0;12.0;9.97;24.0;0;historical;5.831882477283517;0.0;0.0;3.2188758248682006;0.6587581226451357;-0.4119589128437091;-1.4372472001711705;-1.3634021813521084;1.6720608903962488;188;1.0793048109381955;1;1
波爾茶葡萄柚口味320ml;飲料零食;108.0;波爾;規格：320ml毫升x1x6Can罐;波爾茶葡萄柚口味320ml;0.0;1;320.0;19.0;561;0.00%;1;10034050001;unique_master_match;1;1;ml;6;can;18.0;0.0;0.0;volume;month;0.0;1.0;41.0;27.0;12.0;8.5;24.0;0;historical;5.771441123130016;0.0;0.0;2.995732273553991;0.6587581226451357;-0.4758257457323139;-1.4372472001711705;-1.3634021813521084;1.0240354505810463;45;1.314069396149745;1;1
崇德發水蜜桃醋;飲料零食;198.0;崇德發;規格：500ml毫升x1x1Bottle瓶;崇德發水蜜桃醋;0.0;1;500.0;36.0;711;0.00%;1;10052035001;unique_master_match;1;1;ml;1;bottle;198.0;0.0;0.0;volume;month;0.0;1.0;30.0;24.0;29.0;12.55;12.0;0;historical;6.2166061010848646;0.0;0.0;3.6109179126442243;0.6587581226451357;-0.005431300520254936;-1.4372472001711705;-1.3634021813521084;2.810580219594314;71;1.3224429749269009;1;1
維大力加鹽沙士Can330 ml;飲料零食;119.0;維大力;規格：330ml毫升x1x6Bottle瓶;維大力加鹽沙士Can330 ml;0.0;1;330.0;18.0;53;0.00%;1;10002019001;unique_master_match;1;1;ml;6;bottle;19.83333333333333;0.0;0.0;volume;month;0.0;1.0;41.0;27.0;13.0;9.34;24.0;0;historical;5.802118375377063;0.0;0.0;2.9444389791664403;0.6587581226451357;-0.44340987798441633;-1.4372472001711705;-1.3634021813521084;0.8750759155225646;45;1.3671003782703932;1;1
維大力蘋果風味氣水330ml;飲料零食;119.0;維大力;規格：330ml毫升x1x6Can罐;維大力蘋果風味氣水330ml;0.0;1;330.0;18.0;87;0.00%;1;10002944001;unique_master_match;1;1;ml;6;can;19.83333333333333;0.0;0.0;volume;month;0.0;1.0;44.0;27.0;12.0;8.82;24.0;0;historical;5.802118375377063;0.0;0.0;2.9444389791664403;0.6587581226451357;-0.44340987798441633;-1.4372472001711705;-1.3634021813521084;0.8750759155225646;45;1.3671003782703932;1;1
