title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
可口可樂纖維+600ml;飲料零食;120,0;CocaCola 可口可樂;規格：600ml毫升x1x4Bottle瓶;可口可樂Zero 600ml;0,0;1;600,0;9,0;2;0.00%;1;10000001001;unique_master_match;1;1;ml;4;bottle;30,0;0,0;0,0;volume;month;0,0;1,0;45,0;30,0;24,0;15,7;24,0;1107,0
可口可樂2L;飲料零食;230,0;CocaCola 可口可樂;規格：2000ml毫升x1x6Bottle瓶;可口可樂2L;296,0;1;2000,0;9,0;3;22.30%;1;10000002001;unique_master_match;1;1;ml;6;bottle;38,333333;49,333333;22,297297;volume;month;22,3;1,0;34,0;23,0;31,0;13,31;6,0;13565,0
百事可樂330ml;飲料零食;77,0;百事可樂;規格：330ml毫升x1x6Bottle瓶;百事可樂330ml;90,0;1;330,0;12,0;4;14.44%;1;10000003001;unique_master_match;1;1;ml;6;bottle;12,833333;15,0;14,444444;volume;month;14,44;1,0;40,0;27,0;12,0;9,11;24,0;6408,0
百事可樂2L;飲料零食;36,0;百事可樂;規格：2000ml毫升x1x1Bottle瓶;百事可樂2L;52,0;1;2000,0;12,0;5;30.77%;1;10000004001;unique_master_match;1;1;ml;1;bottle;36,0;52,0;30,769231;volume;month;30,77;1,0;34,0;23,0;31,0;14,0;6,0;3421,0
可口可樂330ml;飲料零食;83,0;CocaCola 可口可樂;規格：330ml毫升x1x6Bottle瓶;可口可樂330ml;95,0;1;330,0;12,0;6;12.63%;1;10000005001;unique_master_match;1;1;ml;6;bottle;13,833333;15,833333;12,631579;volume;month;12,63;1,0;40,0;28,0;12,0;8,89;24,0;60084,0
可口可樂 Zero 330ml;飲料零食;83,0;CocaCola 可口可樂;規格：330ml毫升x1x6Bottle瓶;可口可樂 Zero 330ml;94,0;1;330,0;9,0;8;11.70%;0;10000007001;unique_master_match;1;1;ml;6;bottle;13,833333;15,666667;11,702128;volume;month;11,7;0,0;40,0;28,0;12,0;8,58;24,0;29208,0
可口可樂 1250ml;飲料零食;31,0;CocaCola 可口可樂;規格：1250ml毫升x1x1Bottle瓶;可口可樂纖維+ 1250ml;0,0;1;1250,0;9,0;9;0.00%;1;10000008001;unique_master_match;1;1;ml;1;bottle;31,0;0,0;0,0;volume;month;0,0;1,0;37,0;26,0;28,0;16,14;12,0;64,0
可口可樂ZERO無糖零卡2L;飲料零食;230,0;CocaCola 可口可樂;規格：2000ml毫升x1x6Bottle瓶;可口可樂 Zero 2L;296,0;1;2000,0;9,0;10;22.30%;1;10000010001;unique_master_match;1;1;ml;6;bottle;38,333333;49,333333;22,297297;volume;month;22,3;1,0;34,0;23,0;31,0;12,52;6,0;8378,0
可口可樂 Can 250 ml;飲料零食;239,0;CocaCola 可口可樂;規格：250ml毫升x1x24Bottle瓶;可口可樂 Can 250 ml;259,0;1;250,0;12,0;11;7.72%;1;10000011001;unique_master_match;1;1;ml;24;bottle;9,958333;10,791667;7,722008;volume;month;7,72;1,0;40,0;27,0;10,0;6,76;24,0;65763,0
可口可樂600ml;飲料零食;89,0;CocaCola 可口可樂;規格：600ml毫升x1x4BOTTLE瓶;可口可樂Pet 600ml;120,0;1;600,0;9,0;12;25.83%;0;10000012001;unique_master_match;1;1;ml;4;bottle;22,25;30,0;25,833333;volume;month;25,83;0,0;45,0;30,0;25,0;15,88;24,0;8732,0
可口可樂 1250ml;飲料零食;31,0;CocaCola 可口可樂;規格：1250ml毫升x1x1Bottle瓶;可口可樂1250ml;0,0;1;1250,0;9,0;15;0.00%;1;10000022001;unique_master_match;1;1;ml;1;bottle;31,0;0,0;0,0;volume;month;0,0;1,0;37,0;27,0;29,0;15,12;12,0;1843,333333
百事可樂600ml;飲料零食;99,0;百事可樂;規格：600ml毫升x1x4Bottle瓶;百事可樂 - 600ml;125,0;1;600,0;12,0;16;20.80%;0;10000023001;unique_master_match;1;1;ml;4;bottle;24,75;31,25;20,8;volume;month;20,8;0,0;43,0;28,0;25,0;16,27;24,0;673,333333
可口可樂纖維+600ml;飲料零食;120,0;CocaCola 可口可樂;規格：600ml毫升x1x4Bottle瓶;可口可樂纖維+ Pet 600ml;0,0;1;600,0;9,0;18;0.00%;1;10000027001;unique_master_match;1;1;ml;4;bottle;30,0;0,0;0,0;volume;month;0,0;1,0;45,0;30,0;25,0;15,41;24,0;6872,0
可口可樂歡聚雙享組 350mlx12;飲料零食;199,0;CocaCola 可口可樂;規格：350ml毫升x12x1SET組;可樂雪碧350ml*12入組;222,0;1;350,0;9,0;19;10.36%;1;10000998001;unique_master_match;1;1;ml;12;set;16,583333;18,5;10,36036;volume;month;10,36;1,0;28,0;20,0;19,0;4,8;1,0;1740,0
七喜汽水2L;飲料零食;216,0;七喜;規格：2000ml毫升x1x6Bottle瓶;七喜汽水2L;310,0;1;2000,0;12,0;20;30.32%;1;10001001001;unique_master_match;1;1;ml;6;bottle;36,0;51,666667;30,322581;volume;month;30,32;1,0;34,0;24,0;31,0;13,34;6,0;1454,0
雪碧汽水2L;飲料零食;39,0;Sprite 雪碧;規格：2000ml毫升x1x1Bottle瓶;雪碧汽水2L;50,0;1;2000,0;9,0;21;22.00%;1;10001004001;unique_master_match;1;1;ml;1;bottle;39,0;50,0;22,0;volume;month;22,0;1,0;34,0;23,0;31,0;12,52;6,0;6673,0
七喜汽水330ml;飲料零食;77,0;七喜;規格：330ml毫升x1x6Bottle瓶;七喜汽水330ml;92,0;1;330,0;12,0;22;16.30%;1;10001005001;unique_master_match;1;1;ml;6;bottle;12,833333;15,333333;16,304348;volume;month;16,3;1,0;40,0;27,0;12,0;9,11;24,0;6266,0
